candidate,weight,seed,season,group,n,champion_brier,candidate_brier,gain,target_mean,prediction_mean,prediction_std,logloss,auc,outside_max_abs_diff
cat,0.25,43,2022,outside,187897,0.24264704841874501,0.24264704841874501,0.0,0.5297104264570482,0.5258893624349491,0.07935549695058111,0.678056897209576,0.5846405263550047,0.0
cat,0.25,43,2022,R,217024,0.24828303927859774,0.24827003058710395,1.3008691493787694e-05,0.5036908360365674,0.5005523142024454,0.0409063318675109,0.6896750218098906,0.546916920047313,0.0
cat,0.25,43,2022,F,30448,0.20641711337104868,0.2064307899914627,-1.3676620414015961e-05,0.7087493431424067,0.7017036295863162,0.034112967819884966,0.6032385450879053,0.5244401881492871,0.0
cat,0.25,43,2022,0-2,15595,0.24553331305874085,0.24550564604563005,2.766701311079922e-05,0.5218339211285669,0.523604259828876,0.0681512535598011,0.6839569638008157,0.5603999837455891,0.0
cat,0.25,43,2022,1-2,23740,0.24545244465670835,0.2454203026265539,3.2142030154447276e-05,0.5291491154170177,0.5237393527663924,0.06932430022071569,0.6838138174006513,0.5622904097590427,0.0
cat,0.25,43,2022,2-2,20240,0.24306230604159304,0.24300241208610632,5.989395548672283e-05,0.5267786561264822,0.5229804027159363,0.07336674501378616,0.6787812976063933,0.5822690577446071,0.0
cat,0.5,43,2022,all,247472,0.24313201729617934,0.24313362780415815,-1.6105079788109045e-06,0.5289204435249241,0.5255286686979694,0.07684471949023453,0.6790642315220599,0.5807531631999739,0.0
cat,0.5,43,2022,slice,59575,0.2446615883773926,0.2446682783586019,-6.689981209284657e-06,0.5264288711707931,0.5243910560903783,0.06831160169770417,0.6822413208265129,0.5681955313548508,0.0
cat,0.5,43,2022,outside,187897,0.24264704841874501,0.24264704841874501,0.0,0.5297104264570482,0.5258893624349491,0.07935549695058111,0.678056897209576,0.5846405263550047,0.0
cat,0.5,43,2022,R,217024,0.24828303927859774,0.24827499228596137,8.04699263637354e-06,0.5036908360365674,0.5010173779894777,0.04099805555367021,0.6896847845449026,0.5467209426949785,0.0
cat,0.5,43,2022,F,30448,0.20641711337104868,0.2064875595796819,-7.04462086332236e-05,0.7087493431424067,0.7002376267484065,0.034768542616874905,0.6033641888516255,0.5242427971488326,0.0
cat,0.5,43,2022,0-2,15595,0.24553331305874085,0.24557945753113788,-4.614447239703612e-05,0.5218339211285669,0.5243171564718131,0.06534752926852307,0.6841148597842122,0.5598878313817768,0.0
cat,0.5,43,2022,1-2,23740,0.24545244465670835,0.2454694579576075,-1.7013300899149097e-05,0.5291491154170177,0.5245949155425491,0.067441978933,0.6839126186956204,0.5613481447639674,0.0
cat,0.5,43,2022,2-2,20240,0.24306230604159304,0.24302648770266846,3.5818338924575865e-05,0.5267786561264822,0.5242088842107827,0.07148505022991639,0.6788374447663387,0.5821009526419322,0.0
lgb_cat_mean,0.1,43,2022,all,247472,0.24313201729617934,0.24312470562580785,7.311670371490386e-06,0.5289204435249241,0.525164638211969,0.07764983418514802,0.6790449635556624,0.580921258124707,0.0
lgb_cat_mean,0.1,43,2022,slice,59575,0.2446615883773926,0.2446312160116324,3.0372365760200637e-05,0.5264288711707931,0.522878889033198,0.07195826337488145,0.6821612825188282,0.5688062622133147,0.0
lgb_cat_mean,0.1,43,2022,outside,187897,0.24264704841874501,0.24264704841874501,0.0,0.5297104264570482,0.5258893624349491,0.07935549695058111,0.678056897209576,0.5846405263550047,0.0
lgb_cat_mean,0.1,43,2022,R,217024,0.24828303927859774,0.24827530143660675,7.737841990984595e-06,0.5036908360365674,0.5002718732400115,0.040954855066826994,0.6896858562081306,0.5469358612290849,0.0
lgb_cat_mean,0.1,43,2022,F,30448,0.20641711337104868,0.20641283932119614,4.2740498525373205e-06,0.7087493431424067,0.7025926277440919,0.03395958995696561,0.6031999462471601,0.524424412545571,0.0
lgb_cat_mean,0.1,43,2022,0-2,15595,0.24553331305874085,0.24549880680893174,3.450624980910755e-05,0.5218339211285669,0.5232157758698498,0.07030258595022312,0.6839404582853224,0.5606139490727422,0.0
lgb_cat_mean,0.1,43,2022,1-2,23740,0.24545244465670835,0.2454224533209117,2.9991335796647478e-05,0.5291491154170177,0.5232039003395911,0.07070197080527266,0.6838194922243793,0.562640436019202,0.0
lgb_cat_mean,0.1,43,2022,2-2,20240,0.24306230604159304,0.2430346719302998,2.7634111293250996e-05,0.5267786561264822,0.522238102539554,0.07462618739158589,0.6788454651034006,0.5819874496277129,0.0
