season,candidate_a,candidate_b,positive_row_jaccard,positive_row_overlap_share,gain_correlation
2022,xgb_hist,groupdro,0.4670884886084576,0.3212686687786901,0.37203495247051427
2022,xgb_hist,lupi_aux,0.39373911828245006,0.2732349518329346,0.21747319038520638
2022,xgb_hist,lupi_distill,0.5073606762485139,0.32936251373892805,0.5305846705043274
2022,xgb_hist,two_strike,0.12930673212201035,0.06982204047326566,0.1410290435425528
2022,hard_weight,uncertainty_0p5,0.2928472598207303,0.21638003491304067,-0.1124353652531438
2022,hard_weight,role_state,0.2907384601851648,0.21369286222279693,-0.06424095161595966
2022,hard_weight,groupdro,0.2826940289655024,0.21185831124329216,-0.051248020024476926
2022,hard_weight,lupi_aux,0.40541725863240474,0.26521384237408674,0.3251696626872344
2022,hard_weight,lupi_distill,0.39163560125913083,0.2619286222279692,0.26909086701441665
2022,hard_weight,two_strike,0.12210254548388398,0.06115439322428396,0.15506612149340615
2022,uncertainty_0p5,role_state,0.48780849637132906,0.3321789939871986,0.4448602792338974
2022,uncertainty_0p5,groupdro,0.22892802850586288,0.19107616215167778,-0.3684674484140105
2022,uncertainty_0p5,lupi_aux,0.24050155653720148,0.19074077067304585,-0.30749506290415807
2022,uncertainty_0p5,lupi_distill,0.24747369860654533,0.19742435507855435,-0.30920333506734793
2022,uncertainty_0p5,two_strike,0.07921391725664641,0.045980959462080556,-0.1615415285727915
2022,role_state,groupdro,0.2704266925909322,0.21694171461821943,-0.23991067527283413
2022,role_state,lupi_aux,0.27713528299694773,0.21206439516389733,-0.12435382713329905
2022,role_state,lupi_distill,0.2840235754735301,0.2186792849292041,-0.12714495405041687
2022,role_state,two_strike,0.08643181914758,0.04931466994245814,-0.0951669172258898
2022,groupdro,lupi_aux,0.460872365549075,0.31227775263464147,0.42620080097174967
2022,groupdro,lupi_distill,0.48256961979870994,0.3258873731169587,0.45785107458889557
2022,groupdro,two_strike,0.1298735986486389,0.07269913363936122,0.1263907668368299
2022,lupi_aux,lupi_distill,0.5115369922322679,0.32465086959332773,0.5296968416872223
2022,lupi_aux,two_strike,0.12652715150113694,0.06633073640654297,0.14164224666831102
2022,lupi_distill,two_strike,0.13783963395537494,0.07291734014353139,0.17136670105704244
2023,cat,team,0.0,0.0,-0.9995675588906011
2023,cat,hgb,0.47770068168111457,0.3193809184400774,0.2923931857959928
2023,cat,nn,0.4336782027644358,0.3008166174523979,0.1574858804372624
2023,cat,team_nn,0.4605220696331887,0.31386213216576725,0.1817746042059015
2023,cat,ft_transformer,0.386293986206426,0.27671723857041036,0.08850382116397766
2023,cat,tabm,0.39763335299811564,0.28275735668465535,0.11097987892817632
2023,cat,xgb_hist,0.4680122294652926,0.3160981570104877,0.3034278953144112
2023,cat,hard_weight,0.38000782157604757,0.26911719784136034,0.2088007559888691
2023,cat,uncertainty_0p5,0.11637137362412538,0.10425007636696874,-0.7594359324211377
2023,cat,role_state,0.19124114669517298,0.15957234497505346,-0.47590300605331953
2023,cat,groupdro,0.5816224899598393,0.3686589960289176,0.4335143961085869
2023,cat,lupi_aux,0.44704924608886476,0.3086528866714184,0.3271304232814433
2023,cat,lupi_distill,0.4877863110914661,0.3236167396395479,0.32153628631073805
2023,cat,two_strike,0.1516584455708059,0.08177171367477853,0.25117579604890095
2023,team,hgb,0.20424699080183864,0.16704205274411973,-0.29081828365456885
2023,team,nn,0.2403448785434385,0.19210263720598716,-0.15609681114946122
2023,team,team_nn,0.22158378709023996,0.17999796354750025,-0.18035627164785462
2023,team,ft_transformer,0.27709824196378846,0.21480093676814987,-0.08680028122785308
2023,team,tabm,0.2682512290872691,0.2095631809388046,-0.10940384045706525
2023,team,xgb_hist,0.21345033625840645,0.17386824152326646,-0.3021954729437921
2023,team,hard_weight,0.26922423856521277,0.20665105386416863,-0.20911752964547398
2023,team,uncertainty_0p5,0.6542123651009251,0.39430200590571224,0.7596576993181687
2023,team,role_state,0.5058490752890495,0.3328663068933917,0.47668287000341686
2023,team,groupdro,0.15258337247534054,0.13230831890846145,-0.43196953871672367
2023,team,lupi_aux,0.23402483763694257,0.18888504225638936,-0.3264826835187247
2023,team,lupi_distill,0.19694214753196823,0.16190204663476224,-0.3200127925210239
2023,team,two_strike,0.06488045935056366,0.03764586091029427,-0.2509717026002099
2023,hgb,nn,0.4750993816254417,0.3154261276855717,0.44253900740626306
2023,hgb,team_nn,0.4820625869776721,0.31885144079014355,0.4470189495628457
2023,hgb,ft_transformer,0.5435633698691781,0.34438040932695246,0.6435338483115203
2023,hgb,tabm,0.49877444101412666,0.32571428571428573,0.5798392301291839
2023,hgb,xgb_hist,0.5394415761218566,0.34214031157723246,0.598711282175547
2023,hgb,hard_weight,0.3542103754657495,0.2516729457285409,0.1008991333992425
2023,hgb,uncertainty_0p5,0.23372495804020998,0.18660014255167498,-0.22416327021795127
2023,hgb,role_state,0.30354721483972447,0.22794012829650748,0.05198859119386023
2023,hgb,groupdro,0.5531459615988314,0.35165461765604317,0.592695178600569
2023,hgb,lupi_aux,0.46531812943531264,0.3124610528459424,0.4150067734738156
2023,hgb,lupi_distill,0.7178686093554285,0.4061582323592302,0.892661748359859
2023,hgb,two_strike,0.1306122448979592,0.0699887995112514,0.11080730113006873
2023,nn,team_nn,0.7191442560136238,0.4127848487934019,0.9002478114867309
2023,nn,ft_transformer,0.4217715085704874,0.2920354342734956,0.456227559400948
2023,nn,tabm,0.4982100829926917,0.3276285510640464,0.6134370214440439
2023,nn,xgb_hist,0.4539895043169672,0.3068933917116383,0.40134262062395976
2023,nn,hard_weight,0.37546410354280163,0.26442521128194685,-0.08846845869280755
2023,nn,uncertainty_0p5,0.2666031884781885,0.20869157926891355,-0.0841513858871208
2023,nn,role_state,0.3115793924871379,0.23408206903573975,0.1445348657355488
2023,nn,groupdro,0.5170338688019098,0.3387353629976581,0.5565531084080966
2023,nn,lupi_aux,0.39512816393969297,0.28051725893493534,0.11371649549574811
2023,nn,lupi_distill,0.4761825756737824,0.3156216271255473,0.4196113066835408
2023,nn,two_strike,0.12823437593804407,0.06959780063130028,0.05337240009663779
2023,team_nn,ft_transformer,0.41351850337115414,0.2882679971489665,0.4614748282696657
2023,team_nn,tabm,0.5056181172622638,0.3311801242236025,0.637579271195964
2023,team_nn,xgb_hist,0.47121270258912096,0.3151084410956114,0.4139238989142987
2023,team_nn,hard_weight,0.36249849767354014,0.2579737297627533,-0.13861933666235973
2023,team_nn,uncertainty_0p5,0.24681212518165258,0.19645249974544343,-0.1175389366692777
2023,team_nn,role_state,0.29916790506284974,0.22712147439160982,0.13430977797316151
2023,team_nn,groupdro,0.5510322011188793,0.3534304042358212,0.5875989635050679
2023,team_nn,lupi_aux,0.3980254089321816,0.282256389369718,0.09200736961471402
2023,team_nn,lupi_distill,0.4832712378790496,0.31909581509011303,0.4191187071418822
2023,team_nn,two_strike,0.12608907003701902,0.06866917829141635,0.029209130514912814
2023,ft_transformer,tabm,0.5385208208603492,0.34436819061195395,0.7714755271188242
2023,ft_transformer,xgb_hist,0.46160377987905843,0.3099725078912534,0.44305174629712274
2023,ft_transformer,hard_weight,0.2907649162472689,0.21789634456776297,-0.2986684412687405
2023,ft_transformer,uncertainty_0p5,0.2920263202653287,0.2237776193870278,-0.044934811295805524
2023,ft_transformer,role_state,0.34620549769582687,0.25304551471336933,0.22011241876435605
2023,ft_transformer,groupdro,0.47492661077989284,0.31958049078505246,0.5784488119673786
2023,ft_transformer,lupi_aux,0.4687278863426052,0.3156460645555442,0.23660014093042012
2023,ft_transformer,lupi_distill,0.5302233902759527,0.338543936462682,0.6098488110487597
2023,ft_transformer,two_strike,0.1097711651857387,0.06042969147744629,-0.0011835566717366484
2023,tabm,xgb_hist,0.45127631151388237,0.3054434375318196,0.46074236809199365
2023,tabm,hard_weight,0.35891190998902306,0.2556888300580389,-0.20277484249375735
2023,tabm,uncertainty_0p5,0.292448269450421,0.22420934731697384,-0.03284631572856222
2023,tabm,role_state,0.32153632567393253,0.2395967824050504,0.18635757893650565
2023,tabm,groupdro,0.5195586072826059,0.3396191833825476,0.6932429697312177
2023,tabm,lupi_aux,0.5102001503768743,0.3344099378881988,0.261952429676666
2023,tabm,lupi_distill,0.4894564765585741,0.3213318399348335,0.5353953085491129
2023,tabm,two_strike,0.11420453702467323,0.0627023724671622,-0.007239065119646491
2023,xgb_hist,hard_weight,0.3640610258416366,0.2577497199877813,0.07564505300736135
2023,xgb_hist,uncertainty_0p5,0.24227627295620663,0.19278688524590165,-0.2191485720953588
2023,xgb_hist,role_state,0.2888531475257418,0.22017309846247837,-0.029879291840123962
2023,xgb_hist,groupdro,0.5178581454978758,0.33808369819773954,0.5015430201032905
2023,xgb_hist,lupi_aux,0.40483929844078637,0.28457387231442827,0.23990318528683782
2023,xgb_hist,lupi_distill,0.5437060908797937,0.34357397413705326,0.6002021638433087
