model,season,subset,n,history_median,champion_brier,candidate_brier,champion_bss,candidate_bss,delta_bss,two_sigma_bss,prediction_correlation,residual_correlation
auxiliary,2024,count_1-1,25313,2598.0,0.2473550137439348,0.24734997298115655,982.9206971136206,984.9385321281767,2.0178350145541284,8.558980854285148,0.9993491337288527,0.9999942701018849
auxiliary,2024,count_1-2,24399,2598.0,0.24851924638837675,0.2484999494454301,590.3896031997924,598.1085288285004,7.718925628710536,8.55731162883173,0.9993017546432004,0.9999948139809703
auxiliary,2024,count_2-0,9392,2598.0,0.24720070268451091,0.24722142277259093,836.4209581537164,828.1091772009752,-8.311780952742717,14.785009941727843,0.9993114696345363,0.9999936424160688
auxiliary,2024,count_2-1,13446,2598.0,0.24698569766605577,0.24698465188670088,940.303614629312,940.7230501932373,0.41943556390972325,11.868630733714133,0.9993886307060058,0.999994086265227
auxiliary,2024,count_2-2,20640,2598.0,0.24810464942833713,0.24810918926893746,723.4184441196834,721.601872537303,-1.816571582404619,9.316690971265231,0.9993722878877425,0.9999947703467776
auxiliary,2024,count_3-0,3214,2598.0,0.245470293206214,0.2455065067838901,1683.8121705807785,1669.3078456041178,-14.504324976654829,26.987471136999737,0.9991905437824955,0.9999931035287631
auxiliary,2024,count_3-1,6020,2598.0,0.24491832111600997,0.24497147379700876,1373.9087876434296,1352.5047491848907,-21.40403845854735,18.58307333521487,0.9993339603823611,0.9999936689075871
auxiliary,2024,count_3-2,11771,2598.0,0.24659449195981312,0.24662515281583744,626.2267083865902,613.87085675636,-12.355851630227274,13.32869746293797,0.9993846890555965,0.9999945107971039
distillation,2022,linked_pitcher,45569,1776.0,0.24474352567379332,0.24475263197669456,1919.8424687962067,1916.1931480608741,-3.6493207353277826,3.4014452454054878,0.9999257077858557,0.9999984160697811
distillation,2022,unlinked_pitcher,201903,1776.0,0.24276830390281975,0.24276547945581817,2528.162514765775,2529.2965344656304,1.134019699823247,1.6587530076480492,0.9999488900172617,0.9999983787479946
distillation,2022,high_history_pitcher,29959,1776.0,0.2473299601259743,0.24733870465884633,974.4297122860845,970.928590326936,-3.501121959151637,3.9019930552385422,0.9998792729397045,0.9999986211507118
distillation,2022,low_history_pitcher,15610,1776.0,0.23977959295419762,0.23978939357281343,3655.5651277990096,3651.6271985936764,-3.937929205326243,6.529569378604446,0.9999536152417712,0.9999980406563119
distillation,2022,cold_start,88,1776.0,0.24624174814469993,0.24641283371924994,682.4949149710325,613.4903999025277,-69.00451506850254,75.97870144970148,0.9999674830036827,0.9999989013077138
distillation,2022,non_cold_start,247384,1776.0,0.2431309110956382,0.24313022247092272,2421.312174547896,2421.588548686571,0.276374138663875,1.491426908935917,0.999945788715221,0.9999983849687127
distillation,2022,matchup_1/1,30719,1776.0,0.24365060275010442,0.24365568263081205,2530.7701889383807,2528.738049249346,-2.032139689033606,4.5193235108188885,0.9999479936112008,0.9999981609812439
distillation,2022,matchup_1/2,31497,1776.0,0.24285278169556848,0.24284932056769507,2356.6177190230133,2358.0093284981454,1.3916094751141335,3.668692441188985,0.9999564761609434,0.9999987542446787
distillation,2022,matchup_2/1,94115,1776.0,0.24289741574014492,0.24289857373215012,2351.6077108475697,2351.142180750232,-0.46553009731019607,2.1986577620179246,0.9999523120948562,0.9999986485369419
distillation,2022,matchup_2/2,91141,1776.0,0.24329598502310235,0.24329256924607062,2301.2169185610555,2302.588569882158,1.3716513210573744,2.7067801714498105,0.9999328294161135,0.9999980734881997
distillation,2022,count_0-0,64084,1776.0,0.24305955428893397,0.24306524845386251,2386.306713609321,2384.0199141025864,-2.2867995067496723,2.8882780101652914,0.9999439103616209,0.9999984052075113
distillation,2022,count_0-1,31161,1776.0,0.24324996931560833,0.243244216645344,2066.1150082227355,2068.431067499732,2.316059276985137,4.3498931103090115,0.9999450247107834,0.9999982871793125
distillation,2022,count_0-2,15595,1776.0,0.24553331305874085,0.24551052532536258,1599.035902060586,1608.1684100127447,9.132507952169483,5.472147624324145,0.9999455237652746,0.9999985426194582
distillation,2022,count_1-0,25393,1776.0,0.24261045106735052,0.24260900223527607,2650.1042085943172,2650.685567108957,0.5813585146184261,4.6987570746399845,0.9999471217980429,0.9999983759009958
distillation,2022,count_1-1,25225,1776.0,0.24256520543229762,0.2425628074155273,2463.3762612292107,2464.3405151873467,0.9642539581220785,4.751281517455168,0.9999443132481902,0.9999983627927271
distillation,2022,count_1-2,23740,1776.0,0.24545244465670835,0.24544093194571648,1484.1980853463333,1488.8188743434005,4.620788997093498,4.615588740590632,0.9999454215639404,0.9999985022632807
distillation,2022,count_2-0,8700,1776.0,0.24054453189769667,0.2405419966184789,3512.4453123719477,3513.462267071543,1.016954699575091,8.310297570041842,0.9999490331770202,0.9999982091332487
distillation,2022,count_2-1,13114,1776.0,0.24131127097716676,0.24131816405588827,3185.27655333527,3182.511031826818,-2.7655215084452345,6.709340668362568,0.9999490730169796,0.9999983195147115
distillation,2022,count_2-2,20240,1776.0,0.24306230604159304,0.24306749076234418,2495.396774198988,2493.3169200747175,-2.0798541242726496,4.841601928058145,0.9999478270309097,0.9999985768185219
distillation,2022,count_3-0,2809,1776.0,0.24377379275854574,0.2437568541108689,2475.342158538507,2482.1186696650234,6.776511126536106,15.442225670613864,0.9999560829124994,0.9999981258367769
distillation,2022,count_3-1,5605,1776.0,0.23977354089793332,0.2397920221614114,4055.618452699439,4048.2232522616514,-7.3952004377955465,10.814232610375416,0.9999519127100108,0.9999981286925582
distillation,2022,count_3-2,11806,1776.0,0.2431994307269245,0.24321262207369948,2719.110995243523,2713.8343959620006,-5.276599281534855,7.381841807042507,0.9999488921205781,0.9999984283503972
distillation,2023,linked_pitcher,60476,2187.0,0.25060705727046234,0.25060909595964603,-298.74530777207474,-299.56123837442397,-0.815930602378682,3.325606611275173,0.9999291295718491,0.9999985079218853
distillation,2023,unlinked_pitcher,185049,2187.0,0.2529157174010524,0.2529498725026568,-1172.490302431961,-1186.1531808064597,-13.662878374473229,1.8809540085065943,0.9999263840865331,0.9999985911242386
