seed,season,weight,group,train_slice_rows,validation_slice_rows,champion_brier,candidate_brier,gain
44,2023,0.25,R,229025,58362,0.24836109889742417,0.24833705553316973,2.404336425443354e-05
44,2023,0.25,F,229025,58362,0.28646178324087057,0.2861947116080451,0.0002670716328254663
44,2023,0.5,all,229025,58362,0.2523470643919594,0.25226325017046264,8.381422149678075e-05
44,2023,0.5,slice,229025,58362,0.25276444560208794,0.25241184482190565,0.00035260078018228835
44,2023,0.5,outside,229025,58362,0.25221691472463453,0.25221691472463453,0.0
44,2023,0.5,R,229025,58362,0.24836109889742417,0.2483279557001471,3.314319727706905e-05
44,2023,0.5,F,229025,58362,0.28646178324087057,0.2859442904671106,0.0005174927737599533
44,2024,0.1,all,287387,61194,0.24765471554060994,0.24764821808161794,6.497458992005267e-06
44,2024,0.1,slice,287387,61194,0.2486289835699724,0.24860206669353563,2.6916876436772208e-05
44,2024,0.1,outside,287387,61194,0.24734470343644216,0.24734470343644216,0.0
44,2024,0.1,R,287387,61194,0.24775695980089035,0.24775258496555408,4.374835336273808e-06
44,2024,0.1,F,287387,61194,0.24689325984451227,0.2468709543209026,2.2305523609655875e-05
44,2024,0.25,all,287387,61194,0.24765471554060994,0.24764336164342854,1.1353897181404227e-05
44,2024,0.25,slice,287387,61194,0.2486289835699724,0.24858194803686856,4.703553310383968e-05
44,2024,0.25,outside,287387,61194,0.24734470343644216,0.24734470343644216,0.0
44,2024,0.25,R,287387,61194,0.24775695980089035,0.24775088442438667,6.075376503683616e-06
44,2024,0.25,F,287387,61194,0.24689325984451227,0.24684259459991661,5.066524459565458e-05
44,2024,0.5,all,287387,61194,0.24765471554060994,0.24764830691390893,6.408626701009945e-06
44,2024,0.5,slice,287387,61194,0.2486289835699724,0.24860243469705856,2.6548872913839672e-05
44,2024,0.5,outside,287387,61194,0.24734470343644216,0.24734470343644216,0.0
44,2024,0.5,R,287387,61194,0.24775695980089035,0.2477610147540062,-4.054953115839588e-06
44,2024,0.5,F,287387,61194,0.24689325984451227,0.24680892457008244,8.433527442983091e-05
