season,slice,axis,rows,share,target_mean,prediction_mean,brier,global_brier,excess,calibration_error
2023,pitcher_history=21_100,pitcher_history,4694,0.019118216067610223,0.4588836812952706,0.5459765304629746,0.2609369651457057,0.2523470643919594,0.008589900753746271,-0.08709284916770399
2023,pitcher_history=500_plus,pitcher_history,219598,0.8944017920781998,0.5030054918532956,0.5076822488300823,0.25145023839847086,0.2523470643919594,-0.0008968259934885592,-0.004676756976786711
2023,batter_history=0,batter_history,71,0.00028917625496385297,0.5070422535211268,0.6339658402843218,0.27027942371419866,0.2523470643919594,0.017932359322239244,-0.12692358676319504
2023,batter_history=101_500,batter_history,18119,0.07379696568577537,0.48308405541144656,0.5594247443795414,0.2634544868858186,0.2523470643919594,0.011107422493859154,-0.07634068896809482
2023,batter_history=1_20,batter_history,1276,0.005197026779350372,0.46551724137931033,0.6253476976205857,0.2747742575434906,0.2523470643919594,0.02242719315153119,-0.1598304562412754
2023,batter_history=21_100,batter_history,4767,0.019415538132573056,0.4808055380742605,0.6046007585511135,0.27212174341437617,0.2523470643919594,0.019774679022416752,-0.12379522047685299
2023,batter_history=500_plus,batter_history,221292,0.9013012931473373,0.5019476528749345,0.5038842641140541,0.25087655674125664,0.2523470643919594,-0.0014705076507027792,-0.00193661123911959
2023,matchup_novelty=established,matchup_novelty,115492,0.4703879442012015,0.5053769958092336,0.5037125016438279,0.24995138623723123,0.2523470643919594,-0.002395678154728187,0.0016644941654057055
2023,matchup_novelty=low_1_5,matchup_novelty,17342,0.07063231850117097,0.49348402721716067,0.5103510141945063,0.25436025863149403,0.2523470643919594,0.0020131942395346103,-0.016866986977345677
2023,matchup_novelty=unseen,matchup_novelty,112691,0.45897973729762753,0.49539892271787456,0.5177129410739747,0.25449247837305694,0.2523470643919594,0.0021454139810975215,-0.02231401835610014
2023,count_family=batter_ahead,count_family,47844,0.194864066795642,0.4958615500376223,0.5097895301306504,0.2518814512699795,0.2523470643919594,-0.000465613121979902,-0.013927980093028147
2023,count_family=even,count_family,88431,0.3601710620099786,0.5034885956282299,0.514389280735734,0.2525568309608381,0.2523470643919594,0.00020976656887866652,-0.010900685107504082
2023,count_family=pitcher_ahead,count_family,30327,0.12351898991956013,0.5120519668941867,0.5165120468491228,0.2522118128488636,0.2523470643919594,-0.00013525154309579346,-0.004460079954936025
2023,count_family=three_ball,count_family,20561,0.08374299969453212,0.47283692427411117,0.4889705705346635,0.25154309075825676,0.2523470643919594,-0.0008039736337026593,-0.016133646260552303
